edge_1,edge_2
44,0
0,45
0,13
13,46
45,18
0,47
47,1
1,34
18,48
48,34
34,1
13,4
4,78
18,1
47,4
4,3
3,1
1,50
34,49
49,50
50,51
51,52
52,53
50,2
2,54
3,53
53,35
35,55
54,29
54,55
55,8
8,7
8,57
57,29
57,56
56,15
15,58
58,38
38,59
59,9
9,60
60,7
46,5
5,79
79,78
78,6
79,37
37,77
77,83
83,11
12,80
80,16
16,81
83,81
5,12
12,83
83,84
84,14
85,86
10,86
60,10
10,86
10,87
87,9
6,7
11,85
84,85
81,82
81,36
82,19
19,71
71,73
73,14
14,86
6,7
73,75
87,39
39,75
59,27
27,64
64,75
75,76
76,23
23,20
20,73
71,72
72,33
19,74
20,72
33,21
21,22
22,70
70,23
76,24
24,25
25,26
22,26
26,69
22,41
26,32
64,30
31,25
41,69
59,17
17,61
61,62
62,28
28,64
62,40
40,63
63,28
30,31
31,66
66,32
64,67
67,42
42,65
64,43
65,68
65,66
32,68
43,65
43,68
74,33
