Tennets,Impero,Orientali,Panzer,Le bobe,Virtualin,Le tre Avemaaahria + il Prete,Team Sepo
0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1
2,2,3,6,8,2,3,2
8,8,4,8,6,8,4,8
7,7,5,2,3,7,5,7
12,12,14,7,4,12,11,12
16,16,11,12,5,16,14,16
15,15,9,16,14,15,19,15
17,17,13,15,11,17,18,17
18,18,10,17,9,18,17,18
19,19,19,18,13,19,15,19
10,10,18,19,10,10,16,10
13,13,17,10,19,13,7,13
11,11,15,13,18,11,12,11
14,14,16,9,17,14,10,14
5,5,12,11,15,5,13,5
4,4,6,14,16,4,9,4
9,9,8,5,12,9,6,9
6,6,7,4,7,6,8,6
3,3,2,3,2,3,2,3
1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0
